??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:00:03:650,4.747,0.503,1.9,1.9,null
00:00:03:660,4.747,0.503,1.9,1.9,null
00:00:03:670,4.747,0.503,1.9,1.9,null
00:00:03:680,4.747,0.503,1.9,1.9,null
00:00:03:690,4.747,0.503,1.9,1.9,null
00:00:03:700,4.747,0.503,1.9,1.9,null
00:00:03:710,4.747,0.503,1.9,1.9,null
00:00:03:720,4.747,0.503,1.9,1.9,null
00:00:03:730,4.747,0.503,1.9,1.9,null
00:00:03:740,4.747,0.503,1.9,1.9,null
00:00:03:750,4.747,0.503,1.9,1.9,null
00:00:03:760,4.747,0.503,1.9,1.9,null
00:00:03:770,4.747,0.503,1.9,1.9,null
00:00:03:780,4.747,0.503,1.9,1.9,null
00:00:03:790,4.747,0.503,1.9,1.9,null
00:00:03:800,4.747,0.488,1.9,1.9,null
00:00:03:810,4.747,0.488,1.9,1.9,null
00:00:03:820,4.747,0.488,1.9,1.9,null
00:00:03:830,4.747,0.488,1.9,1.9,null
00:00:03:840,4.747,0.488,1.9,1.9,null
00:00:03:850,4.747,0.488,1.9,1.9,null
00:00:03:860,4.747,0.488,1.9,1.9,null
00:00:03:870,4.747,0.488,1.9,1.9,null
00:00:03:880,4.747,0.488,1.9,1.9,null
00:00:03:890,4.747,0.488,1.9,1.9,null
00:00:03:900,4.747,0.488,1.9,1.9,null
00:00:03:910,4.747,0.488,1.9,1.9,null
00:00:03:920,4.747,0.488,1.9,1.9,null
00:00:03:930,4.747,0.488,1.9,1.9,null
00:00:03:940,4.747,0.488,1.9,1.9,null
00:00:03:950,4.747,0.488,1.9,1.9,null
00:00:03:960,4.747,0.488,1.9,1.9,null
00:00:03:970,4.747,0.488,1.9,1.9,null
00:00:03:980,4.747,0.488,1.9,1.9,null
00:00:03:990,4.747,0.488,1.9,1.9,null
00:00:04:000,4.747,0.488,1.9,1.9,null
00:00:04:010,4.747,0.488,1.9,1.9,null
00:00:04:020,4.747,0.488,1.9,1.9,null
00:00:04:030,4.747,0.488,1.9,1.9,null
00:00:04:040,4.747,0.488,1.9,1.9,null
00:00:04:050,4.747,0.488,1.9,1.9,null
00:00:04:060,4.747,0.488,1.9,1.9,null
00:00:04:070,4.747,0.488,1.9,1.9,null
00:00:04:080,4.747,0.488,1.9,1.9,null
00:00:04:090,4.747,0.488,1.9,1.9,null
00:00:04:100,4.754,0.489,1.9,1.9,null
00:00:04:110,4.754,0.489,1.9,1.9,null
00:00:04:120,4.754,0.489,1.9,1.9,null
00:00:04:130,4.754,0.489,1.9,1.9,null
00:00:04:140,4.754,0.489,1.9,1.9,null
00:00:04:150,4.754,0.489,1.9,1.9,null
00:00:04:160,4.754,0.489,1.9,1.9,null
00:00:04:170,4.754,0.489,1.9,1.9,null
00:00:04:180,4.754,0.489,1.9,1.9,null
00:00:04:190,4.754,0.489,1.9,1.9,null
00:00:04:200,4.754,0.489,1.9,1.9,null
00:00:04:210,4.754,0.489,1.9,1.9,null
00:00:04:220,4.754,0.489,1.9,1.9,null
00:00:04:230,4.754,0.489,1.9,1.9,null
00:00:04:240,4.754,0.489,1.9,1.9,null
00:00:04:250,4.754,0.489,1.9,1.9,null
00:00:04:260,4.754,0.489,1.9,1.9,null
00:00:04:270,4.754,0.489,1.9,1.9,null
00:00:04:280,4.754,0.489,1.9,1.9,null
00:00:04:290,4.754,0.489,1.9,1.9,null
00:00:04:300,4.754,0.489,1.9,1.9,null
00:00:04:310,4.754,0.489,1.9,1.9,null
00:00:04:320,4.754,0.489,1.9,1.9,null
00:00:04:330,4.754,0.489,1.9,1.9,null
00:00:04:340,4.754,0.489,1.9,1.9,null
00:00:04:350,4.754,0.489,1.9,1.9,null
00:00:04:360,4.754,0.489,1.9,1.9,null
00:00:04:370,4.754,0.489,1.9,1.9,null
00:00:04:380,4.754,0.489,1.9,1.9,null
00:00:04:390,4.754,0.489,1.9,1.9,null
00:00:04:400,4.753,0.490,1.9,1.9,null
00:00:04:410,4.753,0.490,1.9,1.9,null
00:00:04:420,4.753,0.490,1.9,1.9,null
00:00:04:430,4.753,0.490,1.9,1.9,null
00:00:04:440,4.753,0.490,1.9,1.9,null
00:00:04:450,4.753,0.490,1.9,1.9,null
00:00:04:460,4.753,0.490,1.9,1.9,null
00:00:04:470,4.753,0.490,1.9,1.9,null
00:00:04:480,4.753,0.490,1.9,1.9,null
00:00:04:490,4.753,0.490,1.9,1.9,null
00:00:04:500,4.753,0.490,1.9,1.9,null
00:00:04:510,4.753,0.490,1.9,1.9,null
00:00:04:520,4.753,0.490,1.9,1.9,null
00:00:04:530,4.753,0.490,1.9,1.9,null
00:00:04:540,4.753,0.490,1.9,1.9,null
00:00:04:550,4.753,0.490,1.9,1.9,null
00:00:04:560,4.753,0.490,1.9,1.9,null
00:00:04:570,4.753,0.490,1.9,1.9,null
00:00:04:580,4.753,0.490,1.9,1.9,null
00:00:04:590,4.753,0.490,1.9,1.9,null
00:00:04:600,4.753,0.490,1.9,1.9,null
00:00:04:610,4.753,0.490,1.9,1.9,null
00:00:04:620,4.753,0.490,1.9,1.9,null
00:00:04:630,4.753,0.490,1.9,1.9,null
00:00:04:640,4.753,0.490,1.9,1.9,null
00:00:04:650,4.753,0.490,1.9,1.9,null
00:00:04:660,4.753,0.490,1.9,1.9,null
00:00:04:670,4.753,0.490,1.9,1.9,null
00:00:04:680,4.753,0.490,1.9,1.9,null
00:00:04:690,4.753,0.490,1.9,1.9,null
00:00:04:700,4.752,0.492,1.9,1.9,null
00:00:04:710,4.752,0.492,1.9,1.9,null
00:00:04:720,4.752,0.492,1.9,1.9,null
00:00:04:730,4.752,0.492,1.9,1.9,null
00:00:04:740,4.752,0.492,1.9,1.9,null
00:00:04:750,4.752,0.492,1.9,1.9,null
00:00:04:760,4.752,0.492,1.9,1.9,null
00:00:04:770,4.752,0.492,1.9,1.9,null
00:00:04:780,4.752,0.492,1.9,1.9,null
00:00:04:790,4.752,0.492,1.9,1.9,null
00:00:04:800,4.752,0.492,1.9,1.9,null
00:00:04:810,4.752,0.492,1.9,1.9,null
00:00:04:820,4.752,0.492,1.9,1.9,null
00:00:04:830,4.752,0.492,1.9,1.9,null
00:00:04:840,4.752,0.492,1.9,1.9,null
00:00:04:850,4.752,0.492,1.9,1.9,null
00:00:04:860,4.752,0.492,1.9,1.9,null
00:00:04:870,4.752,0.492,1.9,1.9,null
00:00:04:880,4.752,0.492,1.9,1.9,null
00:00:04:890,4.752,0.492,1.9,1.9,null
00:00:04:900,4.752,0.492,1.9,1.9,null
00:00:04:910,4.752,0.492,1.9,1.9,null
00:00:04:920,4.752,0.492,1.9,1.9,null
00:00:04:930,4.752,0.492,1.9,1.9,null
00:00:04:940,4.752,0.492,1.9,1.9,null
00:00:04:950,4.752,0.492,1.9,1.9,null
00:00:04:960,4.752,0.492,1.9,1.9,null
00:00:04:970,4.752,0.492,1.9,1.9,null
00:00:04:980,4.752,0.492,1.9,1.9,null
00:00:04:990,4.752,0.492,1.9,1.9,null
00:00:05:000,4.750,0.495,1.9,1.9,null
00:00:05:010,4.750,0.495,1.9,1.9,null
00:00:05:020,4.750,0.495,1.9,1.9,null
00:00:05:030,4.750,0.495,1.9,1.9,null
00:00:05:040,4.750,0.495,1.9,1.9,null
00:00:05:050,4.750,0.495,1.9,1.9,null
00:00:05:060,4.750,0.495,1.9,1.9,null
00:00:05:070,4.750,0.495,1.9,1.9,null
00:00:05:080,4.750,0.495,1.9,1.9,null
00:00:05:090,4.750,0.495,1.9,1.9,null
00:00:05:100,4.750,0.495,1.9,1.9,null
00:00:05:110,4.750,0.495,1.9,1.9,null
00:00:05:120,4.750,0.495,1.9,1.9,null
00:00:05:130,4.750,0.495,1.9,1.9,null
00:00:05:140,4.750,0.495,1.9,1.9,null
00:00:05:150,4.750,0.495,1.9,1.9,null
00:00:05:160,4.750,0.495,1.9,1.9,null
00:00:05:170,4.750,0.495,1.9,1.9,null
00:00:05:180,4.750,0.495,1.9,1.9,null
00:00:05:190,4.750,0.495,1.9,1.9,null
00:00:05:200,4.750,0.495,1.9,1.9,null
00:00:05:210,4.750,0.495,1.9,1.9,null
00:00:05:220,4.750,0.495,1.9,1.9,null
00:00:05:230,4.750,0.495,1.9,1.9,null
00:00:05:240,4.750,0.495,1.9,1.9,null
00:00:05:250,4.750,0.495,1.9,1.9,null
00:00:05:260,4.750,0.495,1.9,1.9,null
00:00:05:270,4.750,0.495,1.9,1.9,null
00:00:05:280,4.750,0.495,1.9,1.9,null
